Date	Expenditure	Cups
17-Aug-2015	2.20	2
18-Aug-2015	2.00	2
19-Aug-2015	2.00	2
20-Aug-2015	2.00	2
21-Aug-2015	2.00	2
25-Aug-2015	2.00	2
3-Sep-2015	2.00	2
4-Sep-2015	1.50	1
5-Sep-2015	1.50	1
7-Sep-2015	1.70	1
8-Sep-2015	1.50	1
9-Sep-2015	1.50	1
13-Sep-2015	1.50	1
14-Sep-2015	1.50	1
15-Sep-2015	0.50	1
16-Sep-2015	1.40	1
17-Sep-2015	2.00	2
21-Sep-2015	0.60	1
21-Sep-2015	1.50	1
22-Sep-2015	0.80	1
23-Sep-2015	1.40	1
24-Sep-2015	1.50	1
24-Sep-2015	1.00	1
26-Sep-2015	1.50	1
1-Oct-2015	2.00	2
9-Oct-2015	1.70	1
14-Oct-2015	1.50	1
16-Oct-2015	1.50	1
20-Oct-2015	1.50	1
30-Oct-2015	6.50	50
24-Dec-2015	1.00	1
15-Jan-2016	1.20	1
18-Jan-2016	1.89	60
28-Jan-2016	2.10	2
2-Feb-2016	2.80	2
9-Feb-2016	1.90	1
12-Feb-2016	1.89	60
4-Mar-2016	1.89	60
4-Mar-2016	1.40	1
21-Mar-2016	2.70	50
5-Apr-2016	0.85	1
8-Apr-2016	0.80	1
9-Apr-2016	4.99	100
